accession,compartment,therapy,outcome_label,eligible_baseline_n,independence_assessment,gate_decision,reason
GSE92415,colon mucosa,golimumab,week-6 response,59,independent from existing GSE16879 and GSE23597,include,"New trial cohort; 32 responders and 27 non-responders; baseline total Mayo score and age available"
E-MTAB-7604,inflamed ileal or colonic mucosa,infliximab or adalimumab,clinical response,44,distinct RNA-seq cohort and accession series,include,"19 responders and 25 non-responders; tissue site and drug available; analyze by site and adjust for site/drug"
GSE73661,colon mucosa,infliximab,response,23,probable re-profiling or reuse of the Leuven/Arijs UC cohort,exclude from independent primary meta-analysis,"Same center and investigators and nearly identical 8 responder/15 non-responder composition versus the older 8/16 UC cohort; patient-level independence not demonstrated"
GSE12251,colon mucosa,infliximab,week-8 response,22,exact subset of GSE23597,exclude,"Expression-level overlap audit matched 22 patients with correlations approximately 1 and zero maximum absolute difference"
GSE14580,colon mucosa,infliximab,endoscopic/histologic response,24,UC subset represented within GSE16879,overlap audit only,"Already retained for provenance audit; not an independent validation cohort"
GSE186963,whole blood,infliximab,response,24,independent but wrong compartment,exclude from mucosal-module meta-analysis,"15 responders and 9 non-responders; useful only for a separate blood-signature question"
GSE191328,whole blood,infliximab,response,37,independent but wrong compartment,exclude from mucosal-module meta-analysis,"Prospective blood multi-omics cohorts; not directly comparable with mucosal compartment-informed modules"
GSE159034,whole blood,infliximab,response,12,independent but wrong compartment,exclude from mucosal-module meta-analysis,"Pediatric discovery RNA-seq; 6 responders and 6 non-responders"
GSE52746,intestinal mucosa,anti-TNF,response during ongoing therapy,not eligible as pretreatment endpoint,post-treatment/cross-sectional context,exclude,"Does not provide a clean pretreatment predictor analysis comparable with the current endpoint"
GSE282122 / TAURUS,intestinal single-cell,anti-TNF,outcome annotated,existing atlas,only suitable public outcome-labelled single-cell atlas found,retain existing,"No second truly independent pretreatment single-cell outcome cohort was identified"
